ds,y,yhat1,ar1,lagged_regressor_volume1,lagged_regressor_rsi1,lagged_regressor_volatility_20d1,lagged_regressor_vnindex_close1,lagged_regressor_vn30_close1,lagged_regressor_usd_vnd1,lagged_regressor_interest_rate1,trend,season_weekly
2025-01-01,26.045,26.141205,6.0178967,0.41921392,8.83404,-1.0796897,-24.352901,19.326305,0.89869905,-2.074584,11.50761,6.6446157
2025-01-02,26.15,25.465057,11.244743,0.22771664,4.7986426,-0.5864866,-13.228476,10.498032,0.48817256,-1.1269124,11.509043,1.6405823
2025-01-03,25.53,25.657558,18.643744,0.2592911,5.464007,-0.66780686,-15.062693,11.953655,0.555861,-1.2831664,11.510477,-5.715811
2025-01-06,25.53,25.652466,19.015486,0.07655094,1.6131479,-0.19715773,-4.446984,3.5290976,0.16410775,-0.37883136,11.514776,-5.2377286
2025-01-07,25.7,26.0281,12.169427,-0.0045698886,-0.096300654,0.011769795,0.26547316,-0.21067777,-0.009796798,0.02261523,11.516211,2.3639472
2025-01-08,25.94,25.580029,7.6285915,-0.045765124,-0.9644024,0.11786854,2.6585793,-2.1098316,-0.09810999,0.22648008,11.517643,6.648977
2025-01-09,25.66,26.651398,13.801866,-0.06652958,-1.4019688,0.1713476,3.864824,-3.0670996,-0.14262423,0.32923812,11.519076,1.6432673
2025-01-10,25.73,25.732197,20.653887,-0.15639722,-3.2957377,0.40280265,9.0854,-7.2101145,-0.33527997,0.77397054,11.52051,-5.7068453
2025-01-13,25.87,24.878433,18.991415,-0.08604745,-1.8132664,0.22161607,4.9986534,-3.9668987,-0.18446611,0.42582715,11.524809,-5.233209
2025-01-14,25.36,25.91018,11.7663355,0.0549491,1.1579351,-0.14152198,-3.1920936,2.5332248,0.117798336,-0.2719293,11.526243,2.3592353
2025-01-15,25.22,25.481647,7.835702,-0.11326159,-2.3867464,0.29170635,6.5795717,-5.2215056,-0.242807,0.56050307,11.527677,6.6508055
2025-01-16,25.25,24.716347,11.949883,-0.08564854,-1.8048604,0.2205887,4.97548,-3.9485087,-0.18361095,0.42385307,11.52911,1.6400616
2025-01-17,25.53,25.216072,19.278093,0.02449864,0.5162566,-0.06309649,-1.4231707,1.129419,0.052519497,-0.1212376,11.530542,-5.7077546
2025-01-20,25.6,25.874546,19.632069,-0.0127277,-0.26820913,0.032780323,0.73937535,-0.58676344,-0.027285285,0.06298619,11.534843,-5.2325244
2025-01-21,25.6,26.06947,12.029988,0.029577924,0.6232917,-0.07617824,-1.7182355,1.3635806,0.06340832,-0.1463737,11.536276,2.3641334
2025-01-22,25.6,25.595394,7.047408,0.07552501,1.5915285,-0.19451542,-4.3873854,3.4818006,0.16190839,-0.37375426,11.537709,6.655168
2025-01-23,26.15,26.05075,12.053052,0.17350757,3.656302,-0.4468705,-10.0793705,7.9989233,0.37196067,-0.85864526,11.539143,1.6427478
2025-01-24,26.08,26.310104,19.686354,0.16798097,3.5398407,-0.4326367,-9.758321,7.74414,0.36011288,-0.83129555,11.540575,-5.7066455
2025-01-27,26.084999999999997,26.115135,18.819328,0.21109325,4.4483395,-0.54367274,-12.262791,9.731671,0.45253575,-1.0446472,11.544876,-5.2415986
2025-01-28,26.09,26.172913,10.931604,0.2840538,5.9858274,-0.7315834,-16.501204,13.095248,0.6089465,-1.4057108,11.5463085,2.3594217
2025-01-29,26.095,26.781578,6.397861,0.46418053,9.781614,-1.1955017,-26.965094,21.399323,0.99509716,-2.2971125,11.547741,6.653467
