ds,y,yhat1,ar1,lagged_regressor_volume1,lagged_regressor_rsi1,lagged_regressor_volatility_20d1,lagged_regressor_vnindex_close1,lagged_regressor_vn30_close1,lagged_regressor_usd_vnd1,lagged_regressor_interest_rate1,trend,season_weekly
2020-08-31,23.1,24.011196,14.627764,7.471117,-35.51887,2.485636,93.95974,-73.719765,1.7860997,5.6846123,16.848259,-9.613395
2020-09-01,23.36,23.78666,0.5853266,6.122285,-29.106308,2.0368805,76.99629,-60.410427,1.4636381,4.658315,16.849192,4.5914736
2020-09-02,23.585,23.16138,-7.7402086,5.0523868,-24.019846,1.6809261,63.540825,-49.853424,1.2078605,3.8442526,16.850124,12.598485
2020-09-03,23.81,23.389473,1.3664943,6.8825464,-32.720715,2.289819,86.55764,-67.91216,1.6453918,5.2367816,16.851055,3.1926174
2020-09-04,23.75,23.393852,15.69518,4.7905054,-22.774818,1.5937983,60.247303,-47.26936,1.1452532,3.6449926,16.85199,-10.530987
2020-09-07,22.91,24.042519,14.996647,6.3022165,-29.961733,2.0967436,79.259186,-62.185867,1.5066539,4.7952213,16.854786,-9.621327
2020-09-08,23.05,23.272316,0.37255833,5.0825315,-24.163157,1.6909552,63.919937,-50.15087,1.215067,3.8671892,16.855719,4.5823874
2020-09-09,23.02,23.276579,-7.494826,4.547327,-21.618711,1.512893,57.188995,-44.869846,1.0871171,3.4599633,16.856651,12.607019
2020-09-10,22.85,24.228449,3.1384325,3.59686,-17.10004,1.1966732,45.235542,-35.491302,0.8598916,2.7367735,16.857582,3.1980371
2020-09-11,22.82,22.750927,17.603916,-4.1633897,19.793413,-1.3851573,-52.360447,41.08142,-0.99533033,-3.1678338,16.858517,-10.514183
2020-09-14,22.85,23.05143,16.365997,-1.9581445,9.30933,-0.6514736,-24.626408,19.321604,-0.46812835,-1.4899102,16.861313,-9.61275
2020-09-15,22.99,22.883263,2.1529229,-2.5165288,11.963976,-0.83724767,-31.648869,24.83135,-0.6016197,-1.9147729,16.862246,4.591806
2020-09-16,22.88,23.869202,-5.176478,-1.4885939,7.0770106,-0.4952543,-18.72115,14.688406,-0.35587412,-1.1326392,16.863178,12.610596
2020-09-17,22.85,23.233723,3.7779171,-2.0861301,9.917793,-0.6940543,-26.236004,20.584476,-0.4987255,-1.5872917,16.864109,3.1916318
2020-09-18,23.13,22.860529,16.501144,0.03678175,-0.17486624,0.012237266,0.46258193,-0.36293662,0.008793314,0.027986443,16.865042,-10.516234
2020-09-21,23.02,23.955353,15.865558,2.8932862,-13.755139,0.96259457,36.38712,-28.548925,0.6916901,2.2014391,16.86784,-9.6101055
2020-09-22,22.96,23.559517,1.697598,1.3628106,-6.479017,0.45340627,17.139248,-13.447263,0.32580343,1.0369333,16.868773,4.601224
2020-09-23,23.36,23.145426,-6.4753995,0.45895606,-2.1819496,0.1526944,5.772014,-4.528658,0.109721385,0.34920982,16.869705,12.619133
2020-09-24,23.08,23.874678,2.589418,4.274969,-20.323877,1.4222796,53.76371,-42.182407,1.0220053,3.252732,16.870636,3.185212
2020-09-25,23.02,24.013453,16.649698,3.498069,-16.630373,1.1638055,43.99311,-34.516502,0.8362739,2.6616056,16.871569,-10.513798
2020-09-28,23.3,23.297544,15.9109,0.48995432,-2.3293202,0.16300751,6.1618605,-4.834527,0.11713205,0.3727957,16.874367,-9.628624
2020-09-29,22.94,23.549036,1.1517795,3.233225,-15.3712635,1.0756922,40.662327,-31.903208,0.7729584,2.4600916,16.8753,4.5921373
2020-09-30,23.02,23.497784,-6.327514,1.1588329,-5.5092745,0.38554302,14.573943,-11.434553,0.27703905,0.8817311,16.876232,12.615806
2020-10-01,23.1,23.099073,3.2796137,-0.86358005,4.105596,-0.28731257,-10.860727,8.521205,-0.20645374,-0.6570795,16.877163,3.1906474
2020-10-02,22.94,23.04906,16.490902,0.7312095,-3.4762857,0.24327298,9.195982,-7.2150645,0.17480828,0.5563616,16.878094,-10.530219
2020-10-05,22.79,22.973904,16.067543,-1.2900356,6.1330333,-0.4291941,-16.224003,12.72917,-0.30840534,-0.98156047,16.880894,-9.60354
2020-10-06,22.82,23.200985,2.0383973,-1.0511421,4.9972954,-0.34971434,-13.219581,10.371935,-0.2512937,-0.7997914,16.881824,4.5830503
2020-10-07,22.82,23.345594,-6.437196,1.0171876,-4.8358707,0.33841774,12.792558,-10.036898,0.24317631,0.77395624,16.88276,12.607505
2020-10-08,22.79,22.863834,3.2002447,-1.4471283,6.8798766,-0.48145872,-18.199661,14.279251,-0.34596103,-1.1010888,16.88369,3.1960702
2020-10-09,22.77,23.920357,17.241793,1.084292,-5.154896,0.3607433,13.636488,-10.699037,0.25921878,0.82501453,16.884623,-10.517883
2020-10-12,23.1,23.02728,15.728396,0.0797248,-0.3790243,0.026524395,1.002651,-0.78666866,0.019059595,0.06066089,16.88742,-9.611464
2020-10-13,23.27,23.76485,1.6184229,2.3144813,-11.003408,0.7700265,29.107836,-22.837685,0.5533168,1.7610389,16.888351,4.5924683
2020-10-14,24.2,24.189747,-6.1348553,2.8660693,-13.625746,0.95353955,36.044827,-28.280369,0.6851834,2.1807306,16.889286,12.611086
2020-10-15,23.84,24.174252,2.9302237,4.0069594,-19.049717,1.333113,50.393116,-39.537876,0.95793295,3.0488093,16.890217,3.2014775
2020-10-16,23.81,24.688694,16.21431,7.282017,-34.619858,2.4227228,91.58154,-71.85386,1.7408922,5.5407305,16.89115,-10.510953
2020-10-19,23.64,24.273367,15.258662,6.0141554,-28.592245,2.0009058,75.63641,-59.343483,1.4377878,4.576041,16.893946,-9.608812
2020-10-20,23.7,24.67618,0.6621561,8.753141,-41.613815,2.912165,110.082985,-86.36988,2.0925899,6.660077,16.894878,4.601887
2020-10-21,23.89,24.358032,-6.5105577,4.705269,-22.36959,1.5654402,59.17534,-46.428307,1.124876,3.5801382,16.895811,12.619623
2020-10-22,24.23,25.179693,3.0562525,7.1056156,-33.78122,2.3640342,89.363045,-70.11325,1.6987203,5.4065104,16.896744,3.18324
2020-10-23,24.15,24.93882,16.88221,5.8138175,-27.639809,1.9342538,73.11688,-57.366695,1.3898937,4.4236093,16.897675,-10.513023
2020-10-26,23.13,26.27055,16.20911,9.695635,-46.09458,3.2257318,121.93616,-95.66975,2.317909,7.3772,16.900473,-9.6273365
2020-10-27,22.96,24.454973,2.5485303,1.4334534,-6.8148637,0.47690907,18.027681,-14.144317,0.3426918,1.0906838,16.901405,4.5928006
2020-10-28,22.17,22.829704,-5.9378986,-2.6115186,12.415571,-0.86885065,-32.8435,25.768639,-0.6243287,-1.9870483,16.902338,12.616293
2020-10-29,21.81,22.776672,3.8925817,-4.2000256,19.967585,-1.397346,-52.821194,41.44292,-1.0040888,-3.1957092,16.90327,3.188677
2020-10-30,21.72,20.464172,18.214758,-14.34484,68.19764,-4.7725196,-180.40642,141.54486,-3.429382,-10.9146805,16.904202,-10.52945
2020-11-02,21.95,20.975899,17.043945,-11.670689,55.484295,-3.8828309,-146.77522,115.1582,-2.7900798,-8.879975,16.907,-9.6187525
2020-11-03,22.23,20.50584,3.15278,-14.390904,68.41663,-4.7878456,-180.98575,141.9994,-3.4403949,-10.949731,16.907932,4.5837135
2020-11-04,22.43,22.67267,-4.424284,-8.414607,40.00437,-2.7995348,-105.825455,83.029465,-2.0116575,-6.402494,16.908865,12.607991
2020-11-05,22.03,21.603334,4.1051064,-9.060575,43.075405,-3.014448,-113.949394,89.40343,-2.1660872,-6.8939967,16.909798,3.1941004
2020-11-06,22.03,21.650002,16.525011,-4.4269037,21.0462,-1.4728283,-55.674503,43.681595,-1.0583279,-3.368336,16.910728,-10.512637
2020-11-09,22.15,22.259052,15.377849,-1.4679006,6.9786315,-0.48836964,-18.460903,14.484218,-0.35092703,-1.116894,16.913525,-9.610178
2020-11-10,22.23,22.292562,0.47915372,1.0634071,-5.0556054,0.3537949,13.373831,-10.492959,0.25422585,0.80912364,16.91446,4.5931325
2020-11-11,22.23,22.156052,-7.2784047,-0.3216817,1.5293257,-0.10702331,-4.0455976,3.1741304,-0.076903574,-0.2447607,16.91539,12.611575
2020-11-12,22.34,22.187817,1.7724978,1.0824792,-5.146277,0.3601402,13.613689,-10.681149,0.2587854,0.82363516,16.916325,3.1876926
2020-11-13,22.74,22.666233,15.481377,2.720229,-12.932398,0.9050185,34.210682,-26.841318,0.6503177,2.0697637,16.917255,-10.514691
2020-11-16,22.51,23.61664,15.057635,4.334305,-20.60597,1.4420205,54.50994,-42.76789,1.0361905,3.2978792,16.920052,-9.60752
2020-11-17,22.74,23.795307,0.9663803,4.6035256,-21.88589,1.5315902,57.895775,-45.424377,1.1005526,3.502724,16.920986,4.5840454
2020-11-18,22.6,22.51794,-7.563624,1.8760846,-8.919202,0.6241722,23.594385,-18.51189,0.44851047,1.4274725,16.921917,12.620113
2020-11-19,22.79,23.387138,1.6379551,5.6791105,-26.999388,1.8894366,71.42275,-56.037495,1.3576896,4.321113,16.922852,3.193116
2020-11-20,23.25,22.854347,15.907608,1.8766197,-8.921746,0.62435025,23.601116,-18.517172,0.44863838,1.4278796,16.923782,-10.516729
2020-11-23,23.19,23.937532,15.01307,5.589399,-26.572887,1.8595898,70.29451,-55.152287,1.3362426,4.252854,16.926579,-9.609534
