ds,actual_price,actual_volatility,naive_vol_pred,xgb_vol_pred,np_vol_pred,tft_vol_pred,hybrid_vol_pred,naive_price_pred,xgb_price_pred,np_price_pred,tft_price_pred,hybrid_price_pred
2025-02-04,61.1,0.004428777844935644,0.0,0.013463373,0.0063085975,0.0046091703698039055,0.01291038099417978,60.83,51.61881,57.20354,60.8846549987793,60.82150798524468
2025-02-05,61.49,0.00636269378782865,0.0,0.008278696,0.006042693,0.004424546845257282,0.011967063513871732,61.1,51.838554,57.23542,61.09980773925781,61.076562688292334
2025-02-06,61.69,0.0032472832561688384,0.0,0.011193585,-0.0009007695,0.004621407017111778,0.012236457687655165,61.49,51.59072,57.11685,61.42833709716797,61.48113687228973
2025-02-07,61.76,0.001134062494973423,0.0,0.00888752,0.0015517634,0.004312493838369846,0.012146631534032705,61.69,51.639603,56.90924,61.64560317993164,61.6763196581641
2025-02-10,61.23,0.008618640226657644,0.0,0.01777961,0.00042232743,0.003726603928953409,0.01314828861642345,61.76,51.55519,56.78834,61.722660064697266,61.761719355439325
2025-02-11,61.03,0.003271718933459488,0.0,0.013006472,0.0026980499,0.004472159314900637,0.01345885264758434,61.23,51.579464,56.787666,61.28090286254883,61.24417606823459
2025-02-12,60.76,0.004433868828831477,0.0,0.005705284,-0.0010032918,0.0041459971107542515,0.011993711349495225,61.03,51.721634,56.642544,61.073333740234375,61.02078656486968
2025-02-13,60.83,0.0011514106050418357,0.0,0.0076969853,0.0055372156,0.004130078479647636,0.012063903302508588,60.76,51.81146,56.78385,60.739864349365234,60.75406720240492
2025-02-14,60.83,0.0,0.0,0.012248179,0.0065139774,0.0036031503695994616,0.011696809625925918,60.83,51.833176,56.894897,60.84858322143555,60.81477398502172
2025-02-17,60.83,0.0,0.0,0.012912141,0.01984575,0.0027827597223222256,0.01176703398588765,60.83,51.87138,57.277977,60.84275436401367,60.81162723032773
2025-02-18,60.83,0.0,0.0,0.015649818,0.0057395496,0.002149698557332158,0.01147083403359939,60.83,51.87138,57.728436,60.84626388549805,60.8062431258253
2025-02-19,60.9,0.00115008638323731,0.0,0.015649818,0.0064314706,0.0017883752007037401,0.011732386908788119,60.83,51.87138,58.037037,60.84819793701172,60.810633088822925
2025-02-20,60.9,0.0,0.0,0.019778907,-0.0006595202,0.0016862989868968725,0.012091097304935133,60.9,51.55971,58.312153,60.920372009277344,60.89027100072503
2025-02-21,61.83,0.01515550885462603,0.0,0.022935573,0.004461551,0.001443423330783844,0.01219453119787684,60.9,51.55971,57.88201,60.919288635253906,60.893175544938515
2025-02-24,62.09,0.004196261806324238,0.0,0.016978813,-0.006082476,0.003195008495822549,0.013182247217317276,61.83,51.657806,57.61467,61.6973762512207,61.832997240160196
2025-02-25,61.49,0.0097103854114231,0.0,0.01617154,0.0073889294,0.00329182343557477,0.01245968320205304,62.09,51.88291,57.77547,61.994651794433594,62.08505113099845
2025-02-26,61.29,0.003257862467737966,0.0,0.016913306,0.005125762,0.004077090881764889,0.012997107370255674,61.49,51.529675,58.153023,61.5101432800293,61.491604093793285
2025-02-27,62.42,0.018269039344992938,0.0,0.0099715255,0.014616695,0.0035840340424329042,0.011680059539974863,61.29,51.940277,58.185833,61.314186096191406,61.27106806474797
2025-02-28,61.96,0.007396721293965543,0.0,0.014711816,0.00714287,0.004953817464411259,0.016497056184028386,62.42,51.731197,58.49304,62.19704818725586,62.48236108608134
2025-03-03,61.96,0.0,0.0,0.016827127,0.006598772,0.004728743806481361,0.01349760529799757,61.96,51.628498,58.735607,61.946529388427734,61.970633609757336
2025-03-04,61.76,0.003233109832147159,0.0,0.011226997,0.0024746526,0.003564892802387476,0.01246890045117403,61.96,51.688824,58.34716,61.9218635559082,61.94456804155222
2025-03-05,61.76,0.0,0.0,0.019141836,-0.0010398179,0.0034471414983272552,0.013833641849392515,61.76,51.55008,58.012756,61.74650192260742,61.77818036757795
2025-03-06,62.09,0.0053290396602808255,0.0,0.016525475,0.00038728508,0.002514408901333809,0.012811695018159791,61.76,51.70249,58.00509,61.73258972167969,61.769323917788455
2025-03-07,63.15,0.016927903419698524,0.0,0.022680745,0.0039868075,0.0030119619332253933,0.013267147286089674,62.09,51.625023,58.36772,62.0307731628418,62.10086791526263
2025-03-10,64.28,0.017735692072811664,0.0,0.0065430785,0.003133764,0.004350845701992512,0.01520640738513529,63.15,51.486103,58.40493,62.81540298461914,63.182640769603644
2025-03-11,64.28,0.0,0.0,0.005271448,0.00076775736,0.0053869858384132385,0.015917990045869364,64.28,51.727955,58.41448,63.51487350463867,64.30988131074656
2025-03-12,66.27,0.030488765230823514,0.0,0.009232729,0.0039025734,0.003888073842972517,0.014942456918527402,64.28,51.518974,58.49635,63.92135238647461,64.303389797157
2025-03-13,65.08,0.018120023749298424,0.0,0.012130107,0.00632186,0.006142404396086931,0.020359742463956214,66.27,51.767605,58.338158,65.03140258789062,66.34993657241222
2025-03-14,65.57,0.007500991924690904,0.0,0.0141777545,0.0029714198,0.00693888496607542,0.017883804952265107,65.08,51.176636,58.209293,64.9906005859375,65.138363755636
2025-03-17,66.87,0.019632161790359336,0.0,0.012593724,0.002122341,0.006225923541933298,0.017920142059398025,65.57,51.233246,58.161488,65.36219024658203,65.62838634140718
2025-03-18,66.37,0.007505288908053558,0.0,0.0097568575,0.0032442843,0.007350186817348003,0.018041792136829028,66.87,51.604176,58.377605,66.37857055664062,66.91900085851995
2025-03-19,66.07,0.004530361116039492,0.0,0.010416511,0.0006201183,0.0067959437146782875,0.016546653237916202,66.37,51.61972,58.331272,66.24633026123047,66.41592407310665
2025-03-20,66.37,0.004530361116039482,0.0,0.011470109,0.0014985843,0.006192659493535757,0.01657903128466572,66.07,51.2759,58.294807,65.9658203125,66.10763226793426
2025-03-21,65.57,0.012126872882305694,0.0,0.013256531,-0.0016878993,0.005900912918150425,0.013770112024474902,66.37,51.550064,58.12416,66.22441101074219,66.37308568043147
2025-03-24,66.07,0.007596511766266358,0.0,0.011109396,0.001036423,0.006819609552621841,0.014093147085901246,65.57,51.839233,58.225796,65.5047607421875,65.5918430208259
2025-03-25,65.77,0.004550978728534667,0.0,0.013509102,0.0003458526,0.006980793550610542,0.014110447597631203,66.07,51.64808,58.14301,65.905029296875,66.0765401786866
2025-03-26,65.38,0.005947406017195124,0.0,0.012957181,0.00206675,0.006605159491300583,0.01409394068171373,65.77,51.76823,58.198227,65.66168212890625,65.78482328354227
2025-03-27,65.08,0.004599118945227448,0.0,0.012670133,0.0014281045,0.006681106518954039,0.013439706601682696,65.38,51.627014,58.19628,65.31175994873047,65.38582762632771
2025-03-28,64.38,0.010814256480174997,0.0,0.007965589,0.01492937,0.00619221106171608,0.01272829881099577,65.08,52.114162,58.459232,65.04794311523438,65.07110940328374
2025-03-31,63.59,0.012346800591345564,0.0,0.007891193,0.014110501,0.006928074173629284,0.013727895404183045,64.38,51.52227,58.97004,64.4806900024414,64.39766130900821
2025-04-01,64.08,0.007676077480787202,0.0,0.011103968,0.019828519,0.007532048039138317,0.014172206532923948,63.59,51.53848,59.369225,63.74152374267578,63.61168007157295
2025-04-02,64.38,0.0046707231105582794,0.0,0.0084588,0.01906061,0.007546295877546072,0.013802584896859937,64.08,51.60333,59.34227,64.138427734375,64.08403097260381
2025-04-03,59.91,0.07195958977482857,0.0,0.012151278,0.023784207,0.0067224083468317986,0.014276771901251723,64.38,51.75783,58.812176,64.40245819091797,64.38967971640315
2025-04-04,59.61,0.0050200908639983725,0.0,0.031484503,0.014568555,0.010941606014966965,0.031076232594792502,59.91,51.79761,57.759895,60.310115814208984,60.13959892582903
2025-04-08,55.44,0.07252199035018736,0.0,0.033120867,0.0057325484,0.009227598085999489,0.03236983895052107,59.61,51.798637,58.02113,59.65408706665039,59.85592974555533
2025-04-09,52.16,0.060985437263250314,0.0,0.043653395,-0.0011150157,0.014613691717386246,0.03204460255410813,55.44,51.74293,58.507122,57.47113037109375,55.66796821619704
2025-04-10,55.74,0.0663821044354048,0.0,0.04803855,0.0048288163,0.018118303269147873,0.03620415904989951,52.16,51.752197,58.599823,54.71200942993164,52.43140806239767
2025-04-11,59.41,0.0637645403138478,0.0,0.03606096,0.0054881526,0.021164733916521072,0.027403167935637907,55.74,51.18292,58.44197,55.137908935546875,55.720372412154006
2025-04-14,58.92,0.008281970773220421,0.0,0.023567207,0.0013005041,0.02317613922059536,0.0369920515852306,59.41,51.678253,58.770874,59.66517639160156,59.50076661654264
2025-04-15,59.61,0.011642753637405533,0.0,0.04002034,0.007747971,0.018520917743444443,0.031530417818798034,58.92,51.379307,58.335518,58.88041305541992,58.89832240768037
2025-04-16,58.92,0.011642753637405565,0.0,0.04086229,0.0068215765,0.01671384833753109,0.032256195876564794,59.61,51.371845,58.42672,59.85606384277344,59.615790371318774
2025-04-17,57.73,0.020403622521587346,0.0,0.026533091,0.022070944,0.014983704313635826,0.02706735701607965,58.92,51.153976,58.64993,59.02096939086914,58.936926364415584
2025-04-18,57.73,0.0,0.0,0.034476563,0.016473379,0.015432676300406456,0.027016662752269226,57.73,50.87994,58.77662,57.64350509643555,57.79096652940052
2025-04-21,57.83,0.001730703097284631,0.0,0.013595902,0.0073151556,0.012303587980568409,0.024734469698167873,57.73,51.43077,58.556465,57.830204010009766,57.75522197961593
2025-04-22,58.12,0.00500216653195516,0.0,0.01415833,0.0054130973,0.0101644117385149,0.022593452575743498,57.83,51.78104,58.845287,57.98512268066406,57.83801310244821
2025-04-23,57.63,0.008466573253507047,0.0,0.014802153,0.0125570195,0.00956739578396082,0.024629199868425815,58.12,51.652493,58.137306,58.338748931884766,58.16249298692525
2025-04-24,57.83,0.003464406721551862,0.0,0.018279748,0.0052373298,0.00994045939296484,0.02184290605000444,57.63,51.544613,58.537926,57.773990631103516,57.635006365850685
2025-04-25,57.13,0.012178299433755644,0.0,0.010821038,0.0016629637,0.009293482638895512,0.020700266803188788,57.83,51.535107,58.972366,58.04903030395508,57.82979034872277
2025-04-28,57.13,0.0,0.0,0.017707253,0.013770735,0.010235056281089783,0.022399711039367356,57.13,51.560524,59.44455,57.25098419189453,57.18234228478374
2025-04-29,56.93,0.003506929773380666,0.0,0.014105852,0.022065496,0.00874458346515894,0.019307310688735764,57.13,51.43029,59.602005,57.31034851074219,57.1350762695726
2025-05-05,56.73,0.0035192716245148,0.0,0.019797273,0.013711386,0.008300432935357094,0.019649533297933508,56.93,51.59987,60.584183,57.08474349975586,56.95101901749041
2025-05-06,56.63,0.0017642912127620752,0.0,0.014932504,0.0024426284,0.007985218428075314,0.018657401734558952,56.73,51.5593,61.08861,56.875831604003906,56.74446970487096
2025-05-07,56.63,0.0,0.0,0.022585524,0.0058411947,0.007396275177598,0.019192088905375992,56.63,51.59987,60.922764,56.77430725097656,56.65699317103432
2025-05-08,56.73,0.0017642912127621016,0.0,0.021172913,0.001670121,0.006469276733696461,0.01787974893830486,56.63,51.55971,60.382706,56.77357864379883,56.64468544669214
2025-05-09,56.24,0.008674923836066306,0.0,0.022646949,-0.0028762063,0.006119179539382458,0.018099895257100176,56.73,51.611637,60.5173,56.86686706542969,56.752860299241476
2025-05-12,56.24,0.0,0.0,0.029256739,0.0017680816,0.007166829891502857,0.021120115562734475,56.24,51.59987,60.878178,56.331520080566406,56.32675093195229
2025-05-13,56.43,0.003372684478639156,0.0,0.02180556,0.009185254,0.006482758559286594,0.020816721363710614,56.24,51.471992,60.829456,56.325435638427734,56.32630223914662
2025-05-14,58.32,0.03294415571935406,0.0,0.018807933,0.013471212,0.0057956762611866,0.02192832939413497,56.43,51.592983,60.63141,56.51743698120117,56.543377997282185
2025-05-15,58.32,0.0,0.0,0.011587517,0.006191747,0.009524707682430744,0.023326273814209316,58.32,51.571705,60.890644,58.02715301513672,58.419335199791526
2025-05-16,57.13,0.020615714964031508,0.0,0.014534512,0.003099576,0.006923353765159845,0.02321607074849977,58.32,51.50967,60.920624,58.19172668457031,58.42862584335094
2025-05-19,56.63,0.00879049261065752,0.0,0.015587717,0.0026365237,0.007841168902814388,0.024208135829929214,57.13,51.342407,61.060097,57.28400802612305,57.263775738733024
2025-05-20,56.73,0.0017642912127621016,0.0,0.014753524,0.004632927,0.006755388341844082,0.019853707752111965,56.63,51.421165,60.90157,56.647216796875,56.70244594672471
2025-05-21,56.73,0.0,0.0,0.011773096,0.00523116,0.004851594567298889,0.018143436492546704,56.73,51.22179,60.627872,56.78553009033203,56.79361543184732
2025-05-22,56.53,0.003531700651276262,0.0,0.015499192,0.008223284,0.0037038635928183794,0.019272311975509077,56.73,51.55971,60.552876,56.77197265625,56.810136389355826
2025-05-23,56.43,0.0017705387061507018,0.0,0.015985193,0.009516204,0.0035665398463606834,0.017467998811694974,56.53,51.55209,60.476902,56.53240966796875,56.57071525538437
2025-05-26,56.63,0.0035379481446650165,0.0,0.02181631,0.0037291532,0.0031483774073421955,0.016886797738486038,56.43,51.59987,60.20981,56.427059173583984,56.46680618845402
2025-05-27,56.43,0.0035379481446649584,0.0,0.018369416,0.0013610058,0.002988455118611455,0.017805771428101837,56.63,51.592983,60.103878,56.67677688598633,56.6896537408818
2025-05-28,56.43,0.0,0.0,0.019391648,0.0002472351,0.0031778018455952406,0.01862005623817038,56.43,51.54036,59.969917,56.43378829956055,56.50919138644295
2025-05-29,56.33,0.001773679074426161,0.0,0.021536024,0.0010607662,0.0026126999873667955,0.017712778081481396,56.43,51.61922,60.16159,56.45716857910156,56.493270759569484
2025-05-30,56.04,0.005161531437816337,0.0,0.021135505,0.006637177,0.0024929107166826725,0.016348359851987227,56.33,51.58206,59.98865,56.337181091308594,56.374022171314984
2025-06-02,55.84,0.0035752630146890993,0.0,0.013193912,0.0075548613,0.0028476628940552473,0.016335829304617033,56.04,51.54036,59.575825,55.98072814941406,56.08846884673066
2025-06-03,56.43,0.010510473526931643,0.0,0.013999092,0.011852465,0.0029564618598669767,0.015444741344640713,55.84,51.59987,59.24883,55.76900100708008,55.87277608894131
2025-06-04,56.24,0.00337268447863923,0.0,0.015246258,0.008158262,0.003680854570120573,0.015366952721092775,56.43,51.594837,59.323967,56.47265625,56.4579885378838
2025-06-05,55.94,0.0053485597285958895,0.0,0.01625271,0.011502621,0.0035312394611537457,0.01461519395748595,56.24,51.664948,59.54133,56.2542839050293,56.258182545268504
2025-06-06,55.74,0.0035816657200114857,0.0,0.012252177,0.003415504,0.003668626770377159,0.0147731302367482,55.94,51.59987,59.890896,55.90378952026367,55.959158946539354
2025-06-09,55.54,0.003594540175148718,0.0,0.015021573,0.010475059,0.003535468364134431,0.014408942129980297,55.74,51.59987,59.517033,55.68373489379883,55.7571432399493
2025-06-10,55.54,0.0,0.0,0.01084259,0.007442788,0.003507399931550026,0.013939377472351914,55.54,51.473675,59.13957,55.46512985229492,55.556242925876575
2025-06-11,55.34,0.003607507519873611,0.0,0.016341176,0.009927667,0.0028776931576430798,0.013807712501347835,55.54,51.61922,59.602947,55.49531173706055,55.55068190300283
2025-06-12,55.64,0.005406392696462283,0.0,0.023164937,0.006333147,0.0030602056067436934,0.013859999181898078,55.34,51.61881,60.153652,55.26313781738281,55.35155652338057
2025-06-13,55.84,0.0035880913988748475,0.0,0.019869998,0.010956009,0.0033183754421770573,0.01393906185994959,55.64,51.652493,60.48949,55.67626953125,55.65105298592509
2025-06-16,56.24,0.007137789048292307,0.0,0.027941756,0.009262478,0.0034328147303313017,0.016961236520807544,55.84,51.626076,60.13126,55.886966705322266,55.907643085081574
2025-06-17,56.83,0.010436107806620545,0.0,0.024082795,3.809271e-05,0.003910056781023741,0.01559944616012519,56.24,51.601696,60.015774,56.251251220703125,56.28322875201454
